City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,100,NZ,1605352226,74,-46.19,168.86,61.0,8.01
1,colares,75,PT,1605352226,100,38.8,-9.45,66.0,8.05
2,kamaishi,20,JP,1605352033,75,39.27,141.88,41.0,5.82
3,busselton,51,AU,1605352226,69,-33.65,115.33,55.0,3.0
4,provideniya,0,RU,1605352227,90,64.38,-173.3,19.04,7.7
5,gorin,100,RU,1605352227,97,51.2,136.67,27.03,6.71
6,port blair,99,IN,1605352227,77,11.67,92.75,82.09,13.27
7,new norfolk,69,AU,1605352227,57,-42.78,147.06,53.01,1.99
8,butaritari,0,KI,1605352227,65,3.07,172.79,81.59,4.76
9,kodiak,1,US,1605352057,55,57.79,-152.41,33.8,5.82
10,kokopo,95,PG,1605352227,83,-4.35,152.26,79.72,4.36
11,arraial do cabo,90,BR,1605352227,94,-22.97,-42.03,77.0,4.7
12,lamar,90,US,1605352228,82,33.67,-95.58,61.0,14.99
13,chokurdakh,53,RU,1605352228,89,70.63,147.92,-18.33,4.25
14,bluff,100,NZ,1605352228,74,-46.6,168.33,61.0,8.01
15,barrow,90,US,1605352228,67,71.29,-156.79,19.4,18.34
16,puerto ayora,89,EC,1605352228,84,-0.74,-90.35,69.01,4.0
17,sungairaya,100,ID,1605352228,84,0.7,108.9,79.3,5.08
18,castro,49,BR,1605352229,82,-24.79,-50.01,68.59,4.07
19,kirksville,90,US,1605352229,59,40.19,-92.58,39.99,13.87
20,hithadhoo,100,MV,1605352229,78,-0.6,73.08,83.23,24.14
21,teknaf,0,BD,1605352229,74,20.86,92.31,81.14,9.44
22,khatanga,100,RU,1605352229,89,71.97,102.5,-12.93,13.02
23,hobart,20,AU,1605352093,50,-42.88,147.33,55.4,5.82
24,rikitea,100,PF,1605352230,84,-23.12,-134.97,75.11,16.49
25,bredasdorp,46,ZA,1605352230,44,-34.53,20.04,75.2,13.87
26,woodward,1,US,1605352230,76,36.43,-99.39,52.0,16.11
27,severo-kurilsk,100,RU,1605352230,92,50.68,156.12,44.87,23.06
28,harper,8,LR,1605352230,70,4.38,-7.72,83.98,5.06
29,hermanus,95,ZA,1605352230,78,-34.42,19.23,64.0,8.99
30,nakama,0,JP,1605352230,59,33.82,130.7,62.6,2.24
31,kapaa,20,US,1605352231,73,22.08,-159.32,77.0,16.11
32,east london,20,ZA,1605352232,69,-33.02,27.91,73.4,20.8
33,lavrentiya,60,RU,1605352232,92,65.58,-171.0,23.18,14.67
34,saskylakh,78,RU,1605352232,89,71.92,114.08,-10.03,3.87
36,nanortalik,53,GL,1605352232,86,60.14,-45.24,25.34,14.12
37,georgetown,20,MY,1605351967,74,5.41,100.34,87.8,9.17
38,hilo,90,US,1605352232,83,19.73,-155.09,71.6,8.05
39,lensk,100,RU,1605352232,93,60.73,114.93,15.06,11.1
40,bengkulu,100,ID,1605352232,84,-3.8,102.27,81.39,2.84
41,atuona,34,PF,1605352233,74,-9.8,-139.03,77.4,13.58
42,vaini,20,TO,1605352233,94,-21.2,-175.2,75.2,5.82
43,plainfield,1,US,1605352233,80,40.62,-74.42,42.01,6.96
44,carta,83,RO,1605352233,61,46.53,25.75,53.01,4.0
45,jamestown,90,US,1605351998,74,42.1,-79.24,37.0,6.93
46,dunedin,100,NZ,1605352233,65,-45.87,170.5,61.0,3.27
49,port alfred,8,ZA,1605352234,68,-33.59,26.89,72.43,22.59
50,mahajanga,20,MG,1605352234,55,-15.72,46.32,89.6,13.87
51,gaozhou,100,CN,1605352234,72,21.94,110.85,70.72,4.12
52,ushuaia,90,AR,1605352061,77,-54.8,-68.3,33.8,24.16
53,coihaique,90,CL,1605352234,75,-45.58,-72.07,42.8,5.82
56,trincomalee,100,LK,1605352234,80,8.57,81.23,82.87,12.8
57,souillac,75,MU,1605352234,88,-20.52,57.52,77.0,4.7
58,yorosso,0,ML,1605352235,14,12.35,-4.78,89.35,13.71
60,victoria,100,HK,1605352085,69,22.29,114.16,73.99,4.0
61,luderitz,49,NA,1605352235,62,-26.65,15.16,68.05,16.84
62,mahebourg,75,MU,1605352235,88,-20.41,57.7,77.0,4.7
63,almeria,75,ES,1605352235,72,37.17,-2.33,68.0,3.36
64,flinders,5,AU,1605352235,86,-34.58,150.86,66.0,5.99
66,megion,40,RU,1605352235,85,61.03,76.11,12.2,6.71
67,klaksvik,0,FO,1605352235,81,62.23,-6.59,44.6,16.11
68,punta arenas,75,CL,1605352216,86,-53.15,-70.92,37.4,11.41
69,san luis,63,AR,1605352174,72,-33.3,-66.34,63.75,12.59
70,weihai,1,CN,1605352236,57,37.5,122.11,52.34,10.96
71,longyearbyen,75,SJ,1605352236,93,78.22,15.64,35.6,23.04
72,araxa,73,BR,1605352236,84,-19.59,-46.94,70.25,2.21
73,broome,1,US,1605352236,80,42.25,-75.83,34.0,6.93
74,hirara,75,JP,1605352236,78,24.8,125.28,75.2,11.41
77,katsuura,0,JP,1605352237,67,35.13,140.3,60.8,9.17
78,mar del plata,90,AR,1605351999,100,-38.0,-57.56,64.0,4.7
79,namibe,40,AO,1605352237,65,-15.2,12.15,78.8,11.41
80,kruisfontein,17,ZA,1605352237,57,-34.0,24.73,72.0,11.99
81,ostrovnoy,100,RU,1605352237,90,68.05,39.51,35.83,14.47
82,sitka,90,US,1605352237,86,57.05,-135.33,37.4,9.17
83,ngunguru,33,NZ,1605352088,84,-35.62,174.5,55.99,4.9
84,la ronge,100,CA,1605352237,92,55.1,-105.28,8.6,3.36
85,caconda,100,AO,1605352238,59,-13.73,15.07,77.47,1.05
86,upernavik,100,GL,1605352150,94,72.79,-56.15,14.72,15.37
87,maku,1,IR,1605352238,51,39.29,44.45,48.43,4.52
88,avarua,62,CK,1605352238,88,-21.21,-159.78,71.6,2.24
89,tandil,100,AR,1605352073,99,-37.32,-59.13,64.0,1.01
90,kununurra,0,AU,1605352238,62,-15.77,128.73,89.6,12.75
91,faanui,90,PF,1605352238,79,-16.48,-151.75,79.02,10.42
92,abnub,0,EG,1605352239,69,27.27,31.15,75.2,13.87
93,itamarandiba,96,BR,1605351985,89,-17.86,-42.86,70.77,3.85
95,mokhotlong,7,LS,1605352239,31,-29.29,29.07,70.86,2.84
96,chapais,90,CA,1605352239,86,49.78,-74.85,28.4,14.99
97,carutapera,99,BR,1605352239,69,-1.2,-46.02,83.75,8.84
